,Book-Title,Book-Author,Publisher,Year-Of-Publication,Image-URL-M
156997,The Reef,Nora Roberts,Jove Books,1999,https://images.amazon.com/images/P/051512608X.01.MZZZZZZZ.jpg
157413,Prime Cut,Diane Mott Davidson,Bantam Books,2000,https://images.amazon.com/images/P/0553574671.01.MZZZZZZZ.jpg
157859,House of Sand and Fog,Andre Dubus III,Vintage Books,2000,https://images.amazon.com/images/P/0375727345.01.MZZZZZZZ.jpg
158427,Saving Faith,David Baldacci,Warner Vision,2000,https://images.amazon.com/images/P/0446608890.01.MZZZZZZZ.jpg
158891,The Mulberry Tree,Jude Deveraux,Pocket,2003,https://images.amazon.com/images/P/0743437640.01.MZZZZZZZ.jpg
159333,White Teeth: A Novel,Zadie Smith,Vintage Books USA,2001,https://images.amazon.com/images/P/0375703861.01.MZZZZZZZ.jpg
159846,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,Berkley Publishing Group,1996,https://images.amazon.com/images/P/0425152251.01.MZZZZZZZ.jpg
160063,Silence of the Lambs,Thomas Harris,St. Martin's Press,1991,https://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg
160310,The Hot Zone,Richard Preston,Anchor,1995,https://images.amazon.com/images/P/0385479565.01.MZZZZZZZ.jpg
161259,The Rapture of Canaan,Sheri Reynolds,Berkley Publishing Group,1997,https://images.amazon.com/images/P/0425162443.01.MZZZZZZZ.jpg
161620,Heaven and Earth,Nora Roberts,Jove Books,2003,https://images.amazon.com/images/P/0515132020.01.MZZZZZZZ.jpg
161839,Dance upon the Air,Nora Roberts,Jove Books,2003,https://images.amazon.com/images/P/0515131229.01.MZZZZZZZ.jpg
162632,What Looks Like Crazy On An Ordinary Day,Pearl Cleage,Perennial,1998,https://images.amazon.com/images/P/038079487X.01.MZZZZZZZ.jpg
162842,Angela's Ashes : A Memoir,Frank McCourt,Scribner,1999,https://images.amazon.com/images/P/0684872153.01.MZZZZZZZ.jpg
163624,Nerd in Shining Armor,Vicki Lewis Thompson,Dell Publishing Company,2003,https://images.amazon.com/images/P/0440241162.01.MZZZZZZZ.jpg
164489,Range of Motion,Elizabeth Berg,Jove Books,1996,https://images.amazon.com/images/P/0515119784.01.MZZZZZZZ.jpg
164720,The Reptile Room,Lemony Snicket,HarperCollins,1999,https://images.amazon.com/images/P/0064407675.01.MZZZZZZZ.jpg
164930,Coraline,Neil Gaiman,HarperCollins,2002,https://images.amazon.com/images/P/0380977788.01.MZZZZZZZ.jpg
165048,Guilty Pleasures,Laurell K. Hamilton,Ace Books,1995,https://images.amazon.com/images/P/0441304834.01.MZZZZZZZ.jpg
165228,Long After Midnight,IRIS JOHANSEN,Bantam,1997,https://images.amazon.com/images/P/0553571818.01.MZZZZZZZ.jpg
165787,Disclosure,Michael Crichton,Ballantine Books,1994,https://images.amazon.com/images/P/0345391055.01.MZZZZZZZ.jpg
166129,The Idiot Girls' Action Adventure Club,Laurie Notaro,Villard Books,2002,https://images.amazon.com/images/P/0375760911.01.MZZZZZZZ.jpg
168376,How Stella Got Her Groove Back,Terry McMillan,Signet Book,1998,https://images.amazon.com/images/P/0451197410.01.MZZZZZZZ.jpg
168438,The Pilot's Wife : A Novel,Anita Shreve,Back Bay Books,1999,https://images.amazon.com/images/P/0316601950.01.MZZZZZZZ.jpg
170211,About a Boy,Nick Hornby,Riverhead Books,1999,https://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg
170345,A Patchwork Planet,ANNE TYLER,Ballantine Books,2001,https://images.amazon.com/images/P/080411918X.01.MZZZZZZZ.jpg
170449,Dangerous,Amanda Quick,Bantam,1993,https://images.amazon.com/images/P/0553293176.01.MZZZZZZZ.jpg
170505,Outlander,DIANA GABALDON,Dell,1996,https://images.amazon.com/images/P/0440222915.01.MZZZZZZZ.jpg
171283,Blessings,ANNA QUINDLEN,Random House,2002,https://images.amazon.com/images/P/0375502238.01.MZZZZZZZ.jpg
171428,Shell Seekers,Rosamunde Pilcher,Dell,1996,https://images.amazon.com/images/P/0440202043.01.MZZZZZZZ.jpg
171635,A Case of Need,Michael Crichton,Signet Book,1994,https://images.amazon.com/images/P/0451183665.01.MZZZZZZZ.jpg
172282,Death du Jour,Kathy Reichs,Scribner,1999,https://images.amazon.com/images/P/0684841185.01.MZZZZZZZ.jpg
172386,Pop Goes the Weasel,James Patterson,Replica Books,1999,https://images.amazon.com/images/P/0316693286.01.MZZZZZZZ.jpg
172610,Last Chance Saloon,Marian Keyes,Perennial,2003,https://images.amazon.com/images/P/0060086246.01.MZZZZZZZ.jpg
172915,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,Doubleday,2003,https://images.amazon.com/images/P/038550926X.01.MZZZZZZZ.jpg
173225,On the Street Where You Live,Mary Higgins Clark,Pocket,2002,https://images.amazon.com/images/P/0671004530.01.MZZZZZZZ.jpg
174762,Winter Solstice,Rosamunde Pilcher,Thomas Dunne Books,2000,https://images.amazon.com/images/P/0312244266.01.MZZZZZZZ.jpg
175326,We Were the Mulvaneys,Joyce Carol Oates,Plume,1996,https://images.amazon.com/images/P/0452282829.01.MZZZZZZZ.jpg
176502,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,Anchor,2002,https://images.amazon.com/images/P/0385722206.01.MZZZZZZZ.jpg
177319,Year of Wonders,Geraldine Brooks,Penguin Books,2002,https://images.amazon.com/images/P/0142001430.01.MZZZZZZZ.jpg
177785,The Search,Iris Johansen,Bantam Books,2000,https://images.amazon.com/images/P/0553800914.01.MZZZZZZZ.jpg
177805,All I Really Need to Know,ROBERT FULGHUM,Ivy Books,1989,https://images.amazon.com/images/P/080410526X.01.MZZZZZZZ.jpg
178721,Tara Road,Maeve Binchy,Dell Publishing Company,2000,https://images.amazon.com/images/P/0440235596.01.MZZZZZZZ.jpg
180199,Chocolat,Joanne Harris,Black Swan,2000,https://images.amazon.com/images/P/0552998486.01.MZZZZZZZ.jpg
180585,Harry Potter and the Goblet of Fire,J. K. Rowling,Scholastic,2000,https://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg
181624,P Is for Peril,Sue Grafton,Ballantine Books,2002,https://images.amazon.com/images/P/0449003795.01.MZZZZZZZ.jpg
181979,Beach House,Mary Alice Monroe,Mira,2002,https://images.amazon.com/images/P/1551668998.01.MZZZZZZZ.jpg
182273,The Celestine Prophecy,James Redfield,Warner Books,1994,https://images.amazon.com/images/P/044651862X.01.MZZZZZZZ.jpg
182671,Harry Potter and the Order of the Phoenix,J. K. Rowling,Scholastic,2003,https://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg
184009,Hideaway,Dean R. Koontz,Berkley Publishing Group,1992,https://images.amazon.com/images/P/042513525X.01.MZZZZZZZ.jpg
184222,The Tommyknockers,Stephen King,Signet Book,1994,https://images.amazon.com/images/P/0451156609.01.MZZZZZZZ.jpg
184578,Tears of the Giraffe,Alexander McCall Smith,Anchor,2002,https://images.amazon.com/images/P/1400031354.01.MZZZZZZZ.jpg
185373,A Walk to Remember,Nicholas Sparks,Warner Books,2000,https://images.amazon.com/images/P/0446608955.01.MZZZZZZZ.jpg
185870,Journey,James A. Michener,Fawcett Books,1994,https://images.amazon.com/images/P/0449218473.01.MZZZZZZZ.jpg
186070,Holes,LOUIS SACHAR,Yearling,2000,https://images.amazon.com/images/P/0440414806.01.MZZZZZZZ.jpg
186375,The Summons,John Grisham,Dell Publishing Company,2002,https://images.amazon.com/images/P/0440241073.01.MZZZZZZZ.jpg
187894,The Winner,David Baldacci,Warner Vision,1998,https://images.amazon.com/images/P/0446606324.01.MZZZZZZZ.jpg
188478,The Virgin Suicides,Jeffrey Eugenides,Warner Books,1994,https://images.amazon.com/images/P/0446670251.01.MZZZZZZZ.jpg
188803,From Potter's Field,Patricia Daniels Cornwell,Berkley Publishing Group,1996,https://images.amazon.com/images/P/0425154092.01.MZZZZZZZ.jpg
189273,The Summerhouse,Jude Deveraux,Pocket,2002,https://images.amazon.com/images/P/0671014196.01.MZZZZZZZ.jpg
189490,Cold Mountain,Charles Frazier,Atlantic Monthly Press,1997,https://images.amazon.com/images/P/0871136791.01.MZZZZZZZ.jpg
189961,Scarlet Feather,Maeve Binchy,Dutton Books,2001,https://images.amazon.com/images/P/0525945938.01.MZZZZZZZ.jpg
190105,The Blind Assassin,Margaret Atwood,Nan A. Talese,2000,https://images.amazon.com/images/P/0385475721.01.MZZZZZZZ.jpg
190410,Birthright,Nora Roberts,Jove Books,2004,https://images.amazon.com/images/P/0515137111.01.MZZZZZZZ.jpg
190798,D Is for Deadbeat,Sue Grafton,Bantam,1988,https://images.amazon.com/images/P/0553271636.01.MZZZZZZZ.jpg
191059,Midnight in the Garden of Good and Evil,John Berendt,Vintage Books USA,1999,https://images.amazon.com/images/P/0679751521.01.MZZZZZZZ.jpg
191255,Three To Get Deadly : A Stephanie Plum Novel,Janet Evanovich,St. Martin's Paperbacks,1998,https://images.amazon.com/images/P/0312966091.01.MZZZZZZZ.jpg
191755,Two for the Dough,Janet Evanovich,Pocket,1996,https://images.amazon.com/images/P/0671001795.01.MZZZZZZZ.jpg
192040,Turtle Moon,Alice Hoffman,Berkley Publishing Group,1997,https://images.amazon.com/images/P/0425161285.01.MZZZZZZZ.jpg
192170,Where the Red Fern Grows,Wilson Rawls,Random House Children's Books,1984,https://images.amazon.com/images/P/0553274295.01.MZZZZZZZ.jpg
192830,A Man Named Dave: A Story of Triumph and Forgiveness,David J. Pelzer,Dutton Books,1999,https://images.amazon.com/images/P/0525945210.01.MZZZZZZZ.jpg
193444,Saint Maybe,ANNE TYLER,Ivy Books,1992,https://images.amazon.com/images/P/0804108749.01.MZZZZZZZ.jpg
193543,Rules of Prey,John Sandford,Berkley Publishing Group,1992,https://images.amazon.com/images/P/0425121631.01.MZZZZZZZ.jpg
194897,Envy,Sandra Brown,Warner Books,2002,https://images.amazon.com/images/P/0446611808.01.MZZZZZZZ.jpg
195136,Betrayal in Death,Nora Roberts,Berkley Publishing Group,2001,https://images.amazon.com/images/P/0425178579.01.MZZZZZZZ.jpg
196597,The Gunslinger,Stephen King,New American Library,2003,https://images.amazon.com/images/P/0451210840.01.MZZZZZZZ.jpg
197355,The Dark Half,Stephen King,Signet Book,1994,https://images.amazon.com/images/P/0451167317.01.MZZZZZZZ.jpg
198874,Full House,Janet Evanovich,St. Martin's Paperbacks,2002,https://images.amazon.com/images/P/0312983271.01.MZZZZZZZ.jpg
199590,F Is for Fugitive,Sue Grafton,Bantam,1990,https://images.amazon.com/images/P/0553284789.01.MZZZZZZZ.jpg
199751,E Is for Evidence: A Kinsey Millhone Mystery,Sue Grafton,Bantam,1989,https://images.amazon.com/images/P/0553279556.01.MZZZZZZZ.jpg
200061,The Regulators,Stephen King,Signet Book,2002,https://images.amazon.com/images/P/0451191013.01.MZZZZZZZ.jpg
200565,Plum Island,Nelson DeMille,Warner Books,1998,https://images.amazon.com/images/P/0446605409.01.MZZZZZZZ.jpg
201924,The Eight,Katherine Neville,Ballantine Books,1995,https://images.amazon.com/images/P/0345366239.01.MZZZZZZZ.jpg
202471,The Drawing of the Three,Stephen King,Signet Book,1997,https://images.amazon.com/images/P/0451163524.01.MZZZZZZZ.jpg
202570,Wizard and Glass,Stephen King,Signet Book,1998,https://images.amazon.com/images/P/0451194861.01.MZZZZZZZ.jpg
202837,The Empty Chair,Jeffery Deaver,Pocket,2001,https://images.amazon.com/images/P/0671026011.01.MZZZZZZZ.jpg
203296,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,Three Rivers Press,1999,https://images.amazon.com/images/P/0609804138.01.MZZZZZZZ.jpg
203515,Drowning Ruth,CHRISTINA SCHWARZ,Ballantine Books,2001,https://images.amazon.com/images/P/0345439104.01.MZZZZZZZ.jpg
204112,The Last Precinct,Patricia Cornwell,Berkley Publishing Group,2001,https://images.amazon.com/images/P/0425180638.01.MZZZZZZZ.jpg
205248,Possession : A Romance,A.S. BYATT,Vintage,1991,https://images.amazon.com/images/P/0679735909.01.MZZZZZZZ.jpg
205919,L Is for Lawless,Sue Grafton,Fawcett Books,1996,https://images.amazon.com/images/P/0449221490.01.MZZZZZZZ.jpg
207107,Violin,Anne Rice,Alfred A. Knopf,1997,https://images.amazon.com/images/P/0679433023.01.MZZZZZZZ.jpg
207396,Animal Dreams,Barbara Kingsolver,Perennial,1991,https://images.amazon.com/images/P/0060921145.01.MZZZZZZZ.jpg
208617,Sleepers,Lorenzo Carcaterra,Ballantine Books,1996,https://images.amazon.com/images/P/0345404114.01.MZZZZZZZ.jpg
209558,The Angel of Darkness,Caleb Carr,Ballantine Books,1998,https://images.amazon.com/images/P/0345427637.01.MZZZZZZZ.jpg
210544,I Is for Innocent,Sue Grafton,Fawcett Books,1994,https://images.amazon.com/images/P/0449221512.01.MZZZZZZZ.jpg
210773,Evening Class,Maeve Binchy,Dell,1997,https://images.amazon.com/images/P/0385318073.01.MZZZZZZZ.jpg
210873,Morality for Beautiful Girls,Alexander McCall Smith,Anchor,2002,https://images.amazon.com/images/P/1400031362.01.MZZZZZZZ.jpg
211053,N Is for Noose,Sue Grafton,Fawcett Books,1999,https://images.amazon.com/images/P/0449223612.01.MZZZZZZZ.jpg
211649,A Wrinkle in Time,Madeleine L'Engle,Laure Leaf,1976,https://images.amazon.com/images/P/0440998050.01.MZZZZZZZ.jpg
212227,The English Patient,Michael Ondaatje,Vintage Books USA,1996,https://images.amazon.com/images/P/0679745203.01.MZZZZZZZ.jpg
212451,The Fourth Hand,John Irving,Ballantine Books,2002,https://images.amazon.com/images/P/0345449347.01.MZZZZZZZ.jpg
213403,Shadow Prey,John Sandford,Putnam Pub Group,1990,https://images.amazon.com/images/P/039913543X.01.MZZZZZZZ.jpg
213508,Dragon Tears,Dean R. Koontz,Putnam Pub Group,1993,https://images.amazon.com/images/P/0399137734.01.MZZZZZZZ.jpg
214423,Dawn,V.C. Andrews,Pocket,1990,https://images.amazon.com/images/P/0671670689.01.MZZZZZZZ.jpg
214547,Fat Tuesday,Sandra Brown,Warner Vision,1998,https://images.amazon.com/images/P/0446605581.01.MZZZZZZZ.jpg
215258,Couplehood,Paul Reiser,Bantam Dell Pub Group,1994,https://images.amazon.com/images/P/0553096834.01.MZZZZZZZ.jpg
215881,I Know Why the Caged Bird Sings,MAYA ANGELOU,Bantam,1983,https://images.amazon.com/images/P/0553279378.01.MZZZZZZZ.jpg
216415,Still Waters,TAMI HOAG,Bantam,1992,https://images.amazon.com/images/P/0553292722.01.MZZZZZZZ.jpg
217643,Hard Eight : A Stephanie Plum Novel,Janet Evanovich,St. Martin's Paperbacks,2003,https://images.amazon.com/images/P/0312983867.01.MZZZZZZZ.jpg
218480,Angels,Marian Keyes,William Morrow,2002,https://images.amazon.com/images/P/0060008024.01.MZZZZZZZ.jpg
218685,Debt of Honor,Tom Clancy,Berkley Publishing Group,1997,https://images.amazon.com/images/P/0425147584.01.MZZZZZZZ.jpg
219227,Dark Angel,V.C. Andrews,Pocket,1986,https://images.amazon.com/images/P/0671525433.01.MZZZZZZZ.jpg
219392,Taltos: Lives of the Mayfair Witches,Anne Rice,Ballantine Books,1996,https://images.amazon.com/images/P/0345404319.01.MZZZZZZZ.jpg
219751,One True Thing,Anna Quindlen,Random House Inc,1994,https://images.amazon.com/images/P/067940712X.01.MZZZZZZZ.jpg
220339,Skeleton Crew,Stephen King,Signet Book,1986,https://images.amazon.com/images/P/0451168615.01.MZZZZZZZ.jpg
220745,Seize the Night,DEAN KOONTZ,Bantam,1998,https://images.amazon.com/images/P/0553106651.01.MZZZZZZZ.jpg
220845,Shattered,Dean R. Koontz,Berkley Publishing Group,1993,https://images.amazon.com/images/P/0425099334.01.MZZZZZZZ.jpg
221535,Q Is for Quarry,Sue Grafton,Berkley Publishing Group,2003,https://images.amazon.com/images/P/0425192725.01.MZZZZZZZ.jpg
222091,Girl in Hyacinth Blue,Susan Vreeland,Highbridge Audio,2001,https://images.amazon.com/images/P/1565115430.01.MZZZZZZZ.jpg
222800,Full Tilt,Janet Evanovich,St. Martin's Paperbacks,2003,https://images.amazon.com/images/P/031298328X.01.MZZZZZZZ.jpg
224237,The Glass Lake,Maeve Binchy,Dell,1996,https://images.amazon.com/images/P/0440221595.01.MZZZZZZZ.jpg
224636,The Horse Whisperer,Nicholas Evans,Dell,1996,https://images.amazon.com/images/P/0440222656.01.MZZZZZZZ.jpg
225476,"River, Cross My Heart",Breena Clarke,Little Brown &amp; Company,1999,https://images.amazon.com/images/P/0316899984.01.MZZZZZZZ.jpg
226200,Catering to Nobody,Diane Mott Davidson,Fawcett Books,1995,https://images.amazon.com/images/P/044922046X.01.MZZZZZZZ.jpg
226722,"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",Louise Rennison,HarperTempest,2001,https://images.amazon.com/images/P/0064472272.01.MZZZZZZZ.jpg
226983,The Edge,Catherine Coulter,Jove Books,2000,https://images.amazon.com/images/P/0515128600.01.MZZZZZZZ.jpg
227137,Sea Swept,Nora Roberts,Jove Books,2001,https://images.amazon.com/images/P/0515121843.01.MZZZZZZZ.jpg
227742,Seven Up,Janet Evanovich,St. Martin's Press,2001,https://images.amazon.com/images/P/0312265840.01.MZZZZZZZ.jpg
228238,The Weight of Water : A Novel Tag: Author of Resistance and Strange Fits of Passion,Anita Shreve,Back Bay Books,1998,https://images.amazon.com/images/P/0316780375.01.MZZZZZZZ.jpg
228493,Cujo,Stephen King,Viking Books,1981,https://images.amazon.com/images/P/0670451932.01.MZZZZZZZ.jpg
228544,Hearts in Atlantis,Stephen King,Pocket,2001,https://images.amazon.com/images/P/0743436210.01.MZZZZZZZ.jpg
229243,Jacob Have I Loved,Katherine Paterson,Avon Books,1981,https://images.amazon.com/images/P/0380564998.01.MZZZZZZZ.jpg
229414,Dust to Dust,TAMI HOAG,Bantam,2002,https://images.amazon.com/images/P/0553582526.01.MZZZZZZZ.jpg
229837,Over the Edge,Jonathan Kellerman,New American Library,1993,https://images.amazon.com/images/P/0451152190.01.MZZZZZZZ.jpg
230558,Standoff,Sandra Brown,Warner Books,2000,https://images.amazon.com/images/P/0446527017.01.MZZZZZZZ.jpg
231150,"Truly, Madly Manhattan",Nora Roberts,Silhouette,2003,https://images.amazon.com/images/P/0373218036.01.MZZZZZZZ.jpg
233051,The Deep End of the Ocean,Jacquelyn Mitchard,New Amer Library,1997,https://images.amazon.com/images/P/0451186923.01.MZZZZZZZ.jpg
233217,B Is for Burglar,Sue Grafton,Bantam,1986,https://images.amazon.com/images/P/0553280341.01.MZZZZZZZ.jpg
233453,C Is for Corpse,Sue Grafton,Bantam,1987,https://images.amazon.com/images/P/0553280368.01.MZZZZZZZ.jpg
233809,Gerald's Game,Stephen King,Signet Book,2001,https://images.amazon.com/images/P/0451176464.01.MZZZZZZZ.jpg
233948,FORREST GUMP,Winston Groom,Pocket,1994,https://images.amazon.com/images/P/0671894455.01.MZZZZZZZ.jpg
234091,Rose Madder,Stephen King,Signet Book,2004,https://images.amazon.com/images/P/0451186362.01.MZZZZZZZ.jpg
235089,Tom Clancy's Op-Center,Tom Clancy,Berkley Publishing Group,1995,https://images.amazon.com/images/P/0425147363.01.MZZZZZZZ.jpg
236770,Drums of Autumn,DIANA GABALDON,Dell,1997,https://images.amazon.com/images/P/044022425X.01.MZZZZZZZ.jpg
236845,Voyager,DIANA GABALDON,Dell,1994,https://images.amazon.com/images/P/0440217563.01.MZZZZZZZ.jpg
237357,The Stone Diaries,Carol Shields,Penguin Books,1995,https://images.amazon.com/images/P/014023313X.01.MZZZZZZZ.jpg
238306,Dr. Atkins' New Diet Revolution,Robert C. Atkins,Avon Books,2001,https://images.amazon.com/images/P/006001203X.01.MZZZZZZZ.jpg
238532,Daddy,DANIELLE STEEL,Dell,1990,https://images.amazon.com/images/P/0440207622.01.MZZZZZZZ.jpg
238692,Small Town Girl,LaVyrle Spencer,Putnam Pub Group,1997,https://images.amazon.com/images/P/0399142495.01.MZZZZZZZ.jpg
239052,Killjoy,Julie Garwood,Ballantine Books,2003,https://images.amazon.com/images/P/0345453816.01.MZZZZZZZ.jpg
241535,A Thin Dark Line,TAMI HOAG,Bantam,1998,https://images.amazon.com/images/P/0553571885.01.MZZZZZZZ.jpg
241669,Matilda,Roald Dahl,Puffin Books,1990,https://images.amazon.com/images/P/014034294X.01.MZZZZZZZ.jpg
242676,The Face of Deception,Iris Johansen,Bantam Books,1999,https://images.amazon.com/images/P/0553578022.01.MZZZZZZZ.jpg
242798,G Is for Gumshoe,Sue Grafton,Fawcett Books,1991,https://images.amazon.com/images/P/0449219364.01.MZZZZZZZ.jpg
243212,The Other Boleyn Girl,Philippa Gregory,Touchstone,2002,https://images.amazon.com/images/P/0743227441.01.MZZZZZZZ.jpg
243773,The Bonfire of the Vanities,Tom Wolfe,Bantam Books,1988,https://images.amazon.com/images/P/0553275976.01.MZZZZZZZ.jpg
248105,The Bachelor,Carly Phillips,Warner Forever,2002,https://images.amazon.com/images/P/0446610542.01.MZZZZZZZ.jpg
249780,The Promise,Mandalyn Kaye,Pinnacle Books,1995,https://images.amazon.com/images/P/0786000872.01.MZZZZZZZ.jpg
250961,Needful Things,Stephen King,New Amer Library,1993,https://images.amazon.com/images/P/0451178599.01.MZZZZZZZ.jpg
251040,Four Past Midnight,Stephen King,Signet Book,2001,https://images.amazon.com/images/P/0451170385.01.MZZZZZZZ.jpg
251736,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray,HarperCollins Publishers,1992,https://images.amazon.com/images/P/006016848X.01.MZZZZZZZ.jpg
252033,Smart Women,Judy Blume,Pocket Books,1990,https://images.amazon.com/images/P/0671727583.01.MZZZZZZZ.jpg
252567,Hemlock Bay,Catherine Coulter,Jove Books,2002,https://images.amazon.com/images/P/0515133302.01.MZZZZZZZ.jpg
253162,The Wedding,Nicholas Sparks,Warner Books,2003,https://images.amazon.com/images/P/0446532452.01.MZZZZZZZ.jpg
253608,Red Storm Rising,Tom Clancy,Berkley Publishing Group,1997,https://images.amazon.com/images/P/042510107X.01.MZZZZZZZ.jpg
254860,Tell Me Lies,Jennifer Crusie,St. Martin's Press,1999,https://images.amazon.com/images/P/0312966806.01.MZZZZZZZ.jpg
256663,Hide and Seek,James Patterson,Warner Books,1996,https://images.amazon.com/images/P/0446603716.01.MZZZZZZZ.jpg
256830,Wanderlust,Danielle Steel,Dell,1987,https://images.amazon.com/images/P/0440193613.01.MZZZZZZZ.jpg
257266,Whirlwind,Nancy Martin,Harlequin,1992,https://images.amazon.com/images/P/0373825013.01.MZZZZZZZ.jpg
257541,Carrie,Stephen King,Signet Book,1994,https://images.amazon.com/images/P/0451157443.01.MZZZZZZZ.jpg
257764,Schindler's List,Thomas Keneally,Touchstone,1993,https://images.amazon.com/images/P/0671880314.01.MZZZZZZZ.jpg
258091,The General's Daughter,Nelson DeMille,Warner Books,1992,https://images.amazon.com/images/P/0446513067.01.MZZZZZZZ.jpg
259715,The Bourne Supremacy,Robert Ludlum,Bantam,1987,https://images.amazon.com/images/P/0553263226.01.MZZZZZZZ.jpg
259873,Summer Pleasures,Nora Roberts,Silhouette,2002,https://images.amazon.com/images/P/0373218397.01.MZZZZZZZ.jpg
261109,Homeport,Nora Roberts,Putnam Publishing Group,1998,https://images.amazon.com/images/P/0399143874.01.MZZZZZZZ.jpg
261257,Five Days in Paris,DANIELLE STEEL,Dell,1997,https://images.amazon.com/images/P/0440222842.01.MZZZZZZZ.jpg
261958,Paradise,Toni Morrison,Alfred A. Knopf,1998,https://images.amazon.com/images/P/0679433740.01.MZZZZZZZ.jpg
262047,A Virtuous Woman,Kaye Gibbons,Vintage Books,1997,https://images.amazon.com/images/P/0375703063.01.MZZZZZZZ.jpg
263239,The Burden of Proof,Scott Turow,Warner Books,1991,https://images.amazon.com/images/P/0446360589.01.MZZZZZZZ.jpg
263497,Accident,Danielle Steel,Delacorte Press,1994,https://images.amazon.com/images/P/0385306024.01.MZZZZZZZ.jpg
263577,Master of the Game,Sidney Sheldon,Not Avail,1983,https://images.amazon.com/images/P/0446802204.01.MZZZZZZZ.jpg
263631,If Tomorrow Comes,Sidney Sheldon,Warner Books> C/o Little Br,1986,https://images.amazon.com/images/P/0446329894.01.MZZZZZZZ.jpg
264100,False Memory,Dean R. Koontz,Bantam Books,2000,https://images.amazon.com/images/P/0553580221.01.MZZZZZZZ.jpg
264567,Second Nature,Alice Hoffman,Putnam Pub Group,1994,https://images.amazon.com/images/P/0399139087.01.MZZZZZZZ.jpg
264796,Coming Home,Rosamunde Pilcher,St. Martin's Press,1996,https://images.amazon.com/images/P/0312958129.01.MZZZZZZZ.jpg
264940,Foucault's Pendulum,Umberto Eco,Ballantine Books,1990,https://images.amazon.com/images/P/0345368754.01.MZZZZZZZ.jpg
266160,Colony,Anne Rivers Siddons,HarperTorch,1993,https://images.amazon.com/images/P/0061099708.01.MZZZZZZZ.jpg
268993,Devices and Desires,Phyllis White,Warner Books,1991,https://images.amazon.com/images/P/0446359750.01.MZZZZZZZ.jpg
269607,The Killing Game: Only One Can Win...and the Loser Dies,Iris Johansen,Bantam Books,2000,https://images.amazon.com/images/P/0553581554.01.MZZZZZZZ.jpg
270110,Nightmares and Dreamscapes,Stephen King,Signet Book,2004,https://images.amazon.com/images/P/0451180232.01.MZZZZZZZ.jpg
270416,Thinner,Stephen King,New Amer Library,1985,https://images.amazon.com/images/P/0451137965.01.MZZZZZZZ.jpg
271318,Temptation,Jude Deveraux,Atria,2000,https://images.amazon.com/images/P/0671002031.01.MZZZZZZZ.jpg
272294,The Talisman,Stephen King,Berkley Publishing Group,1991,https://images.amazon.com/images/P/0425105334.01.MZZZZZZZ.jpg
274357,"Welcome to the World, Baby Girl!",Fannie Flagg,Ballantine Books,1999,https://images.amazon.com/images/P/080411868X.01.MZZZZZZZ.jpg
275153,Fatal Cure,Robin Cook,Berkley Publishing Group,1997,https://images.amazon.com/images/P/0425145638.01.MZZZZZZZ.jpg
275249,A Fine Balance,Rohinton Mistry,Vintage Books USA,2001,https://images.amazon.com/images/P/140003065X.01.MZZZZZZZ.jpg
275980,Deja Dead,Kathy Reichs,Pocket,1998,https://images.amazon.com/images/P/0671011367.01.MZZZZZZZ.jpg
276571,The Ugly Duckling,Iris Johansen,Bantam Books,1997,https://images.amazon.com/images/P/0553569910.01.MZZZZZZZ.jpg
278302,Fine Things,Danielle Steel,Dell,1988,https://images.amazon.com/images/P/0440200563.01.MZZZZZZZ.jpg
279743,Anne of the Island,Lucy Maud Montgomery,Bantam Classics,1983,https://images.amazon.com/images/P/0553213172.01.MZZZZZZZ.jpg
281704,Welcome to Temptation,Jennifer Crusie,St. Martin's Paperbacks,2001,https://images.amazon.com/images/P/0312974256.01.MZZZZZZZ.jpg
281856,Sole Survivor,DEAN KOONTZ,Knopf,1997,https://images.amazon.com/images/P/0679425268.01.MZZZZZZZ.jpg
282079,Tears of the Moon,Nora Roberts,Jove Books,2000,https://images.amazon.com/images/P/0515128546.01.MZZZZZZZ.jpg
282468,Beach Music,PAT CONROY,Nan A. Talese,1995,https://images.amazon.com/images/P/0385413041.01.MZZZZZZZ.jpg
283225,The Genesis Code,John Case,Ballantine Books,1998,https://images.amazon.com/images/P/0345422317.01.MZZZZZZZ.jpg
284519,Practical Magic,Alice Hoffman,Berkley Publishing Group,1998,https://images.amazon.com/images/P/0425168468.01.MZZZZZZZ.jpg
284583,Riptide,Catherine Coulter,Jove Books,2001,https://images.amazon.com/images/P/0515130966.01.MZZZZZZZ.jpg
285771,Gorky Park,Martin Cruz Smith,Ballantine Books,1993,https://images.amazon.com/images/P/0345298349.01.MZZZZZZZ.jpg
288116,Fortune's Rocks: A Novel,Anita Shreve,Back Bay Books,1999,https://images.amazon.com/images/P/0316781010.01.MZZZZZZZ.jpg
